analysis,odds_ratio,ci_low,ci_high,label
"Primary HRC
Hartung-Knapp",0.731850877662616,0.612891456877646,0.873899776420717,0.73 (0.61-0.87)
"Early response
6-12 h",0.83909802316864,0.755298387255329,0.932195148786281,0.84 (0.76-0.93)
"Late response
12-24 h",0.742143698785749,0.710920953074465,0.774737707849922,0.74 (0.71-0.77)
"Fluid-adjusted
mortality",0.760825587362249,0.737098868520833,0.78531605339013,0.76 (0.74-0.79)
"Simplified HRC
mortality",0.619706898169917,0.557885669686986,0.688378749457486,0.62 (0.56-0.69)
"No-leakage
baseline HRC",0.645556123196966,0.590774008226158,0.70541815041659806,0.65 (0.59-0.71)
