database,analysis,n,deaths,beta,se,odds_ratio,ci_low,ci_high,p_value
MIMIC-IV,Landmark IPCW HRC,16757,2557,-0.270872230000371,0.0218481627278554,0.762713942139717,0.730742716589258,0.796083962696945,3.82532897766384e-35
MIMIC-IV,Early deaths assigned worst observed HRC,18105,3905,-0.758068099749626,0.018692884256162,0.468570785180956,0.45171425436945,0.486056347793542,0
MIMIC-IV,Early deaths worst + early discharges best HRC,20097,3905,-0.785917571466752,0.0181761684968289,0.455701371315259,0.439752941175249,0.472228199915212,0
eICU,Landmark IPCW HRC,9275,1912,-0.28535430316446603,0.0284180072500302,0.75174786048423,0.711021526058445,0.794806943293817,1.32490573224563e-23
eICU,Early deaths assigned worst observed HRC,10866,3503,-0.91685021900088,0.0233033833199238,0.399776267742805,0.381927678718481,0.41845897314023,0
eICU,Early deaths worst + early discharges best HRC,13449,3503,-0.980535752892087,0.0220097664632268,0.37511007869813,0.359272508276163,0.391645806176628,0
SICdb,Landmark IPCW HRC,8275,926,-0.406086339796637,0.0404297137084347,0.666252640823987,0.615495821253703,0.721195117946978,1.33011039254164e-23
SICdb,Early deaths assigned worst observed HRC,8521,1172,-0.698151394518356,0.0382813819913692,0.497504143130156,0.461542321739353,0.536267988380591,2.60745658586381e-74
SICdb,Early deaths worst + early discharges best HRC,10082,1172,-0.777698367741083,0.0356272924187455,0.459462308506069,0.428473418053939,0.49269243794991,1.23826587107103e-105
