database,analysis,n,deaths,beta,se,odds_ratio,ci_low,ci_high,p_value,variant_note
MIMIC-IV,Adjusted for measurement frequency,16757,2557,-0.284196731580799,0.0223794234537497,0.752618566300537,0.720320090557808,0.786365275334242,5.98752641356458e-37,NA
eICU,Adjusted for measurement frequency,9275,1912,-0.277560080720614,0.0286201228842369,0.757630044276522,0.71630122813673,0.801343431287371,3.07242270883491e-22,NA
SICdb,Adjusted for measurement frequency,8275,926,-0.37798512354066,0.0418571573604766,0.685240694545376,0.631268719320955,0.743827145381323,1.7111079703114898e-19,NA
MIMIC-IV,GAM expected-recovery HRC,16757,2557,-0.379005582425264,0.0222344342638478,0.684541791252222,0.655351023734538,0.715032779380558,3.7503212218442102e-65,NA
eICU,GAM expected-recovery HRC,9275,1912,-0.39503277972807,0.0276387463468671,0.673657956562309,0.63813607980788,0.711157160360426,2.42942967661098e-46,NA
SICdb,GAM expected-recovery HRC,8275,926,-0.558490846836027,0.0414692312979872,0.572071756618839,0.527414218060408,0.62051056553708706,2.42638559360717e-41,NA
MIMIC-IV,HRC adjusted for fluid balance/exposure,16757,2557,-0.289041060190233,0.0227465645365622,0.748981451450415,0.716323421894293,0.783128399087238,5.40550739010928e-37,NA
eICU,HRC adjusted for fluid balance/exposure,9275,1912,-0.248197664499409,0.0280701025874801,0.780205709064304,0.738441012746457,0.824332530221392,9.396574167944959e-19,NA
SICdb,HRC adjusted for fluid balance/exposure,8274,926,-0.275908492087363,0.0399884858403375,0.75888237132575,0.701675323464542,0.820753465670502,5.21130570073031e-12,NA
MIMIC-IV,No-leakage baseline HRC,16757,2557,-0.380583146751216,0.0221461707729159,0.683462733907694,0.654431182792979,0.713782168274746,3.43625281756049e-66,NA
eICU,No-leakage baseline HRC,9275,1912,-0.396410700135445,0.0275683781653325,0.672730348748008,0.637345280632902,0.710079976864667,6.99170052328867e-47,NA
SICdb,No-leakage baseline HRC,8275,926,-0.554686204151599,0.0413103729487585,0.574252430955465,0.529589528344047,0.622681976906515,4.18467215645279e-41,NA
MIMIC-IV,PCA-weighted HRC,16757,2557,-0.263614286265349,0.0237342709498824,0.768269814733811,0.733349705752861,0.804852723879096,1.1611488184546199e-28,PC1 variance 37.8%; hrc_map_residual_z 0.624; hrc_vaso_residual_z 0.355; hrc_uo_residual_z 0.696
eICU,PCA-weighted HRC,9275,1912,-0.24271686409887,0.0290001048531749,0.784493600632236,0.741147198356973,0.830375141128861,5.7854991344212e-17,PC1 variance 38.4%; hrc_map_residual_z 0.686; hrc_vaso_residual_z 0.290; hrc_uo_residual_z 0.667
SICdb,PCA-weighted HRC,8275,926,-0.390938832148641,0.042032972546044003,0.676421530025502,0.622929490166891,0.734507024477937,1.39437764103249e-20,PC1 variance 45.8%; hrc_map_residual_z 0.697; hrc_vaso_residual_z 0.634; hrc_uo_residual_z 0.336
MIMIC-IV,Primary HRC with index-hour adjustment,16757,2557,-0.244621989313712,0.0223876241809741,0.783000464849716,0.749386110910013,0.818122619340207,8.59528134883941e-28,NA
eICU,Primary HRC with index-hour adjustment,9275,1912,-0.285682818018322,0.0287441566588691,0.751500940706335,0.710333763593691,0.795053949041261,2.82167305421753e-23,NA
SICdb,Primary HRC with index-hour adjustment,8274,926,-0.41201759942475,0.0418544378040731,0.662312619628439,0.610149792726213,0.718934942449322,7.27157270791855e-23,NA
MIMIC-IV,Simplified raw-domain HRC,16757,2557,-0.411699417085866,0.0252891985848846,0.662523389336646,0.630485365046123,0.69618942128182,1.3764372100762301e-59,NA
eICU,Simplified raw-domain HRC,9275,1912,-0.427280402892454,0.0307927867966498,0.652280625208466,0.614078102597235,0.69285977178282,8.856175916998509e-44,NA
SICdb,Simplified raw-domain HRC,8274,926,-0.615420680045035,0.0456526433220234,0.540413506305492,0.494158868789614,0.590997705885015,2.03708156082614e-41,NA
