database,term,beta,se,odds_ratio,ci_low,ci_high,p_value
MIMIC-IV,(Intercept),-2.35510508083231,0.572429285939165,0.0948835355698637,0.0308985548441752,0.291369139030616,3.88475898185443e-5
MIMIC-IV,hrc_core_z,-0.271965997172309,0.0221349965190683,0.761880166729433,0.729533643763184,0.79566089023866,1.06780398680532e-34
MIMIC-IV,"ns(anchor_age, df = 3)1",0.413330006319489,0.118432284494,1.51184386164842,1.19866326984575,1.90685067233114,4.8300019742199e-4
MIMIC-IV,"ns(anchor_age, df = 3)2",0.351520753159908,0.396770563690788,1.42122724181582,0.653028006403191,3.09310910569478,0.375641928200044
MIMIC-IV,"ns(anchor_age, df = 3)3",1.21112301955763,0.101047255062651,3.35725279685391,2.75405408521273,4.09256535755825,4.2221510890995e-33
MIMIC-IV,"ns(first_day_sofa, df = 4)1",0.891588827480035,0.233265134145221,2.43900172741322,1.54403260052061,3.8527226849478,1.3225983075691e-4
MIMIC-IV,"ns(first_day_sofa, df = 4)2",1.81993577507385,0.180834624419888,6.17146207545907,4.32973536731429,8.79659861809399,7.96209395817426e-24
MIMIC-IV,"ns(first_day_sofa, df = 4)3",3.10989309510142,0.541904748882002,22.4186476093852,7.75067010075899,64.8454590506406,9.53392262855701e-9
MIMIC-IV,"ns(first_day_sofa, df = 4)4",4.34769197370541,0.336462077637169,77.2998468002117,39.9743668271189,149.47744741469,3.39162741214641e-38
MIMIC-IV,"ns(baseline_neq_log, df = 4)1",0.635455700240726,0.102952902246466,1.88788225386469,1.542912277316,2.30998188092533,6.73056992884797e-10
MIMIC-IV,"ns(baseline_neq_log, df = 4)2",1.24454764369569,0.253614849629923,3.4713641506591,2.11165430790234,5.7066012279499,9.23693762130321e-7
MIMIC-IV,"ns(baseline_neq_log, df = 4)3",0.592223397855799,0.248350569874389,1.80800386168568,1.11122746131825,2.94168212869078,0.0170964601327449
MIMIC-IV,"ns(baseline_neq_log, df = 4)4",0.210818547879995,0.43852921296713,1.23468829792498,0.522733808053382,2.91631260413372,0.630701275623726
MIMIC-IV,"ns(baseline_map_mean, df = 4)1",-0.440202183061174,0.456235048767885,0.643906220990589,0.263314420111188,1.57460127423065,0.334615779819655
MIMIC-IV,"ns(baseline_map_mean, df = 4)2",0.382244038405496,0.312239284812721,1.46556969678764,0.794745203543442,2.70262031977752,0.220875936510617
MIMIC-IV,"ns(baseline_map_mean, df = 4)3",1.35790836223026,1.00629869989941,3.88805239361051,0.540964918842088,27.9444209576798,0.177205682677002
MIMIC-IV,"ns(baseline_map_mean, df = 4)4",1.99228709014844,0.546997004240056,7.33228419508129,2.50977388188351,21.4212092593345,2.7028988324676e-4
MIMIC-IV,"ns(baseline_uo_log, df = 4)1",-1.14119517993982,0.0995739208098922,0.319437008869636,0.262801449042469,0.388277930001406,2.07627200719448e-30
MIMIC-IV,"ns(baseline_uo_log, df = 4)2",-1.78002542724798,0.344940083020769,0.168633859319122,0.0857691780860555,0.33155708313223,2.46435650794305e-7
MIMIC-IV,"ns(baseline_uo_log, df = 4)3",1.03871374639951,1.03226301714029,2.82558026317383,0.373631750945374,21.3683762245483,0.314295751824912
MIMIC-IV,"ns(baseline_uo_log, df = 4)4",5.6384776952551,2.24925103227101,281.034572410509,3.42132081527632,23084.7778253672,0.0121821165069755
eICU,(Intercept),1.58739434204657,1.11915015197348,4.89098806836796,0.545474266423596,43.8549822739776,0.156076162317093
eICU,hrc_core_z,-0.281083904341832,0.0285688163401282,0.754964987982257,0.713853331758085,0.798444313029004,7.659167590774819e-23
eICU,"ns(age, df = 3)1",-0.31707259432131,0.166804497135559,0.728277884367925,0.525185680820549,1.00990696477243,0.0573198829816513
eICU,"ns(age, df = 3)2",-0.650635747107361,0.458204213142195,0.521713993144942,0.212524181365507,1.2807271572317,0.155616726067365
eICU,"ns(age, df = 3)3",0.0757068327383118,0.173091765520502,1.07864630401625,0.76832166898257,1.51431086241341,0.661835969039889
eICU,gender_male,-0.00311010840653235,0.0575309156950235,0.996894722970618,0.890592211673062,1.11588567209646,0.956887539585148
eICU,"ns(acutephysiologyscore, df = 4)1",-2.01617670127653,1.12834660923483,0.13316361734037,0.0145859664079762,1.21572671204532,0.0739630877805132
eICU,"ns(acutephysiologyscore, df = 4)2",-2.45337033092383,0.949700664397809,0.0860032381161727,0.0133698991722765,0.553224588395133,0.00978576173192631
eICU,"ns(acutephysiologyscore, df = 4)3",-4.43446460355821,2.46878239054384,0.0118614147671689,9.39085450126403e-5,1.49819337803472,0.072460288687932
eICU,"ns(acutephysiologyscore, df = 4)4",-0.74723474771815,1.67433772976145,0.473674573098496,0.01779431248589,12.6089502686858,0.655390124428071
eICU,"ns(apachescore, df = 4)1",2.3387455806959,1.18733439779306,10.3682223035626,1.01168061519044,106.258864825494,0.0488676426887692
eICU,"ns(apachescore, df = 4)2",4.56616019287317,0.967027108472545,96.1741098309026,14.4518421114283,640.019405861914,2.33705172954698e-6
eICU,"ns(apachescore, df = 4)3",5.26775659629747,2.49993852256848,193.980297823944,1.44479454562791,26044.0877616357,0.0351041933302374
eICU,"ns(apachescore, df = 4)4",6.11189720225961,1.55976814173804,451.193909777685,21.2171076360044,9594.89614291327,8.91145876401087e-5
eICU,"ns(baseline_vaso_log, df = 4)1",-1.25928735754178,0.847599268872584,0.283856242447777,0.0539039565783734,1.49477647822419,0.137355642182129
eICU,"ns(baseline_vaso_log, df = 4)2",-0.636590826415799,0.488287674493793,0.529093123150113,0.203189328370537,1.37772753721712,0.192328774741287
eICU,"ns(baseline_vaso_log, df = 4)3",-2.10437547038736,1.95507704703817,0.121921794267956,0.0026419022565238,5.62659874369347,0.281764285775462
eICU,"ns(baseline_vaso_log, df = 4)4",-0.237803452543566,0.614481838149361,0.788357625553348,0.236415193675087,2.62888241701703,0.698757435411091
eICU,"ns(baseline_map_mean, df = 4)1",-1.26463943402969,0.54939631095377806,0.28234108037506,0.0961893709270899,0.828745264669417,0.0213424482480077
eICU,"ns(baseline_map_mean, df = 4)2",-0.107366699883911,0.36912787338843,0.898196244134782,0.435681399685937,1.85171203902527,0.77115390537427
eICU,"ns(baseline_map_mean, df = 4)3",-1.90891378116489,1.20246250222448,0.148241321690035,0.0140420766990499,1.5649743216326,0.112398588979542
eICU,"ns(baseline_map_mean, df = 4)4",-0.514746089652362,0.600080279874088,0.597652325464131,0.18435688159385,1.93748288127151,0.391005463192353
eICU,"ns(baseline_uo_log, df = 4)1",-0.733997917247068,0.108579058477467,0.479986203958168,0.387977100147832,0.593815346066527,1.37961200920813e-11
eICU,"ns(baseline_uo_log, df = 4)2",-0.734995354372083,0.281870715960716,0.479507686584015,0.275973120927427,0.833152231349438,0.00911895674201213
eICU,"ns(baseline_uo_log, df = 4)3",-0.101245325527729,0.575771320794896,0.903711302236746,0.29236964270437,2.79336154819683,0.860417328899033
eICU,"ns(baseline_uo_log, df = 4)4",1.78972605484147,1.19955470446562,5.98781190959924,0.570433909283103,62.8537169359342,0.135701235541229
SICdb,(Intercept),-2.34686818576686,1.31525750841806,0.0956683089066027,0.00726471993454654,1.25984558407074,0.074368236291067
SICdb,hrc_core_z,-0.406539806931556,0.0417501120119002,0.665950585639046,0.613626695925942,0.722736128427034,2.0871742646398799e-22
SICdb,"ns(age, df = 3)1",0.119924268897653,0.212932778689161,1.12741146823304,0.742734741233155,1.71131973252397,0.573297014774027
SICdb,"ns(age, df = 3)2",1.36811689909277,0.7155476536566,3.92794700614045,0.966251882048318,15.9676456726179,0.0558780250948909
SICdb,"ns(age, df = 3)3",0.932447183903047,0.171711050416708,2.540719183093,1.81466287985624,3.55727448827749,5.62508294881117e-8
SICdb,male,-0.0532696760558003,0.0832342952055884,0.948124291583584,0.805408322746554,1.11612910731461,0.522174730759827
SICdb,"ns(saps3, df = 4)1",1.27479495528469,1.07447518704147,3.5779676915149,0.435553469221272,29.392149773053,0.235450561473201
SICdb,"ns(saps3, df = 4)2",3.48394210963991,0.643732852169229,32.5879344066632,9.22806056735981,115.080894966083,6.22922951904213e-8
SICdb,"ns(saps3, df = 4)3",3.75252807899122,2.27626670102522,42.628714648745,0.49219875316013,3692.01933352505,0.0992408852685405
SICdb,"ns(saps3, df = 4)4",5.1086964922041,0.611471601894057,165.454542961415,49.9106384249143,548.484384301237,6.55676871022751e-17
SICdb,heart_surgery,-0.455748966732028,0.137617965617455,0.633972965429779,0.484094461476781,0.830254739270767,9.2732013232943e-4
SICdb,"ns(baseline_vaso_log, df = 4)1",0.231446107466764,0.226222393319274,1.26042139744514,0.809011913412155,1.96370668070521,0.306264794975625
SICdb,"ns(baseline_vaso_log, df = 4)2",0.755685814342883,0.294043204263462,2.1290711703203,1.19646541653052,3.78861268003345,0.0101703727222317
SICdb,"ns(baseline_vaso_log, df = 4)3",0.568373530453343,0.552728428908561,1.76539335654634,0.597527910915111,5.21584623313222,0.303806274872496
SICdb,"ns(baseline_vaso_log, df = 4)4",0.411724938026765,0.454755842228089,1.50941919540054,0.619043252154042,3.68043153610966,0.365266327642723
SICdb,"ns(baseline_map_mean, df = 4)1",-1.59212493525444,0.578989471729967,0.203492743084364,0.065420249224432,0.632973689016979,0.00596254621421608
SICdb,"ns(baseline_map_mean, df = 4)2",-0.501743055738902,0.526085511696658,0.605474363824147,0.215919049699243,1.69785484772602,0.340220791759704
SICdb,"ns(baseline_map_mean, df = 4)3",-2.47835159208637,1.42200004459035,0.0838813824261007,0.00516721993379504,1.36167734446444,0.0813575080990853
SICdb,"ns(baseline_map_mean, df = 4)4",-0.282941729535475,1.7247816643382201,0.753563697087078,0.0256438456241919,22.1440361905719,0.869695754622407
SICdb,"ns(baseline_uo_log, df = 4)1",-1.16224435328439,0.163583076972298,0.312783396086615,0.226987281289906,0.43100852308339,1.20393972217693e-12
SICdb,"ns(baseline_uo_log, df = 4)2",-0.725228989184735,0.387288795638339,0.484213676564234,0.226660702970208,1.03442229508425,0.0611264993637128
SICdb,"ns(baseline_uo_log, df = 4)3",-1.22260821299189,0.713682445669451,0.294461147086766,0.0727010026518856,1.19265710211502,0.086694449377542
SICdb,"ns(baseline_uo_log, df = 4)4",0.0873629650230886,1.50459086502254,1.09129270892485,0.0571782932138476,20.8281798846019,0.953697437518147
