Database,Step,Source metric,n retained,Excluded from previous step,Retained from previous step
MIMIC-IV,Adult ICU stays/cases,adult_valid_icu_stays,"94,444",NA,NA
MIMIC-IV,Early vasoactive support,early_vaso_support_stays,"24,176","70,268",25.6%
MIMIC-IV,24-h landmark eligible,landmark_eligible_stays,"20,836","3,340",86.2%
MIMIC-IV,First support stay/case,formal_first_patient_support_stays,"17,966","2,870",86.2%
MIMIC-IV,Core HRC analytic cohort,core_hrc_complete_rows,"16,757","1,209",93.3%
eICU,Adult ICU stays/cases,adult_valid_icu_stays,"197,292",NA,NA
eICU,Early vasoactive support,early_vasoactive_support_stays,"22,427","174,865",11.4%
eICU,24-h landmark eligible,landmark_eligible_stays,"18,253","4,174",81.4%
eICU,First support stay/case,formal_first_patient_support_stays,"16,677","1,576",91.4%
eICU,Core HRC analytic cohort,core_hrc_complete_rows,"9,275","7,402",55.6%
SICdb,Adult ICU stays/cases,adult_valid_icu_cases,"27,223",NA,NA
SICdb,Early vasoactive support,early_vasoactive_support_cases,"11,328","15,895",41.6%
SICdb,24-h landmark eligible,landmark_eligible_cases,"9,521","1,807",84.0%
SICdb,First support stay/case,formal_first_patient_support_cases,"8,700",821,91.4%
SICdb,Core HRC analytic cohort,core_hrc_complete_rows,"8,274",426,95.1%
