Characteristic,MIMIC-IV,eICU,SICdb
"Core HRC cohort, n","16,757","9,275","8,274"
"Age, years",67.0 [57.0-77.0],67.0 [57.0-77.0],70.0 [60.0-75.0]
Male sex,"10,176 (60.7%)","5,215 (56.2%)","5,375 (65.0%)"
"Body weight, kg",81.9 [69.0-96.8],81.0 [67.5-97.7],75.0 [65.0-90.0]
Primary severity score,7.0 [4.0-9.0],60.0 [44.0-83.0],47.0 [38.0-59.0]
"Index time after ICU admission, h",2.4 [0.7-4.7],1.9 [0.5-6.2],0.8 [0.4-1.9]
"Baseline MAP, mmHg",73.9 [68.6-79.3],71.6 [66.2-77.8],71.1 [66.4-76.9]
"Response MAP, mmHg",72.4 [68.2-77.6],73.0 [68.2-78.8],71.6 [67.1-77.7]
Baseline vasopressor burden,0.06 [0.02-0.14],1.00 [1.00-1.17],1.00 [0.60-1.00]
Response vasopressor burden,0.03 [0.00-0.10],1.00 [1.00-1.33],0.54 [0.01-1.00]
"Baseline urine output, mL/kg/h",0.91 [0.46-1.66],0.74 [0.35-1.44],0.91 [0.48-1.58]
"Response urine output, mL/kg/h",0.76 [0.46-1.17],0.64 [0.36-1.13],0.67 [0.43-1.03]
"HRC, z score",-0.02 [-0.58-0.58],-0.03 [-0.60-0.58],-0.06 [-0.69-0.63]
Low-HRC phenotype,"4,190 (25.0%)","2,319 (25.0%)","2,068 (25.0%)"
Post-landmark hospital death,"2,557 (15.3%)","1,912 (20.6%)",926 (11.2%)
24-72h organ nonrecovery,"5,415 (37.0%)","3,196 (37.4%)","2,852 (37.2%)"
